ACCEPT;Přijmout
ACCOUNT_RECOVERY;Obnovení účtu
ACCOUNT_RECOVERY_TITLE;Obnovit Účet
ACTIVATION_KEY;Aktivační Klíč
ADD_A_FRIEND;Přidat přítele prostřednictvím jeho id
ADD_NEW_DECK;Nový balíček
ADVENTURE_POUCH_POINTS;Body ve Vaku dobrodružství
ALLY_TURN;Spojenec táhne
AMBIENT;Okolí
ARENA_RUN_DECK_NAME;Balíček do Pandory
BACK;ZPĚT
BIND_ACCOUNT_BUTTON;Spojeno s {0}
BIND_ACCOUNT_LABEL;Už máte Faeria účet?
BLUEPRINT_PANEL_TEXT1;Nejprve zkuste upravit jeden z předem vytvořených balíčků.
BLUEPRINT_PANEL_TEXT2;Pomocí tlačítka níže můžete sestavit i vlastní balíček
BLUEPRINT_PANEL_TITLE;Chcete si vytvořit svůj vlastní balíček?
BLUEPRINT_REQUIREMENT_LEVEL;DOSÁHNOUT ÚROVNĚ
BLUEPRINT_REQUIREMENT_QUEST;DOKONČETE VÍCE MISÍ PRO ODEMČENÍ TOHOTO VZORCE
BOOSTER_OPENING_GEMSTITLE;Krystaly vzácnosti
BOSS_DEFEATED;Poražen
BOSS_NOT_RELEASED;Bude vydáno
BUILD_YOUR_DECK;Vlastní balíček
CANCEL;Zrušit
CARD_LIMIT_MESSAGE;V každém balíčku mohou být maximálně 3 stejné karty.
CHAT_ERROR_MESSAGE_TOO_LONG;Zpráva je moc dlouhá (max. {0} znaků).
CHAT_ERROR_NOBODY_TO_REPLY_TO;Není tu komu odpovědět.
CHAT_ERROR_NOT_CONNECTED;Vaše spojení bylo ztraceno. Zkuste se odhlásit a zase přihlásit.
CHAT_ERROR_NO_INTERLOCUTOR;Nikomu nepíšete. Pro odeslání zprávy použijte příkaz /w, seznam přátel nebo klikněte na jméno v chatu.
CHAT_ERROR_ONLY_WITH_FRIENDS;Můžete chatovat jenom s lidmi, které máte ve svém Seznamu přátel.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} je offline. Zprávy můžete posílat jen online uživatelům.
CHAT_GENERIC_WARNING;Nezapomeňte, že žádný zaměstnanec společnosti Abrakam Entertainment vás nikdy nebude žádat o sdělení hesla. Nezveřejňujte v chatu žádné citlivé údaje.
CHAT_HINT_USER_BACK_ONLINE;{0} je zase online!
CHAT_HINT_USER_WENT_OFFLINE;{0} šel offline.
