CARD_0001_BODY;젊은 사일랜드인들은 종종 영웅적인 모험가가 되는 것을 꿈꾸지만 슬프게도 실제로 모험을 떠나는 경우 그들은 단 하루도 버티지 못합니다.
CARD_0022_BODY;미르나스트의 도시 주민들은 종종 제국의 기술적 신비가 제공하는 안락과 안전을 위해 그들의 전통과 자유를 기꺼이 포기합니다. 외곽에 사는 사람들은 좀 더 고귀한 이상을 믿는지라 자유의 이름으로 계속 황제와 싸운답니다.
CARD_0024_BODY;제국은 반란군의 상징이 매라는 것을 듣고 처음에는 비웃었지만, 곧 훈련된 매의 울음소리를 두려워 하게 되었습니다.
CARD_0030_BODY;평화로운 야크들은 풀 있는 곳이라면 거의 어디든 찾아볼수 있습니다. 야크들은 종종 그 지역의 농부들과 친구가 되어 쟁기나 수레를 끌어주는 대신 커다란 건초나 쉼터를 제공받습니다.
CARD_0034_BODY;마그다 여왕은 메로벌의 사법 체계 대부분을 장악하고 있습니다. 그녀에게 호의적인 친구들 덕이죠. 그들의 충성심에 보답하기 위해 여왕은 그들이 참여하고자 하는 불법 행위들이 법적 책임에 연루되는 것을 막아준답니다.
CARD_0036_BODY;비록 정치적 결혼에 사랑은 존재하지 않았지만 남편의 강철주먹을 감싸줄 벨벳 장갑이 되어줍니다. 마그누스가 기사단과 대중의 존경을 신경쓸 때 마그다는 사회 상류층들을 상대합니다. 뇌물, 스파이, 그리고 때때로 암살로요.
CARD_0040_BODY;"빙하의 여우"로 알려진 이 교활한 왕은 메로벌의 193번째 통치자입니다. 왕국이 세워진 이래 4000년간 메로비안 가문을 상징하는 커다란 흰 숫사슴이 흑요성 성채 위에 휘날리지 않았던 적이 없답니다.
CARD_0043_BODY;강도의 습격으로 가족을 잃은 샤라는 비밀스러운 용 사냥꾼들의 우두머리에게 입양되었습니다. 수년간의 훈련 끝에 그녀는 단체의 가장 뛰어난 사냥꾼이 되었고, 전설로 전해져오는 "용의 날"을 막기 위해 가능한 많은 용을 죽이도록 세상 밖으로 내보내졌습니다.
CARD_0047_BODY;황금 옥좌에 앉은 황제가 지배하는 미르나스트 도시에는 잡초가 마구 자라 있는 작은 공원이 있습니다. 그 정중앙엔 신비하고 아름다우며 반짝이는 여자 동상이 잡초와 넝쿨에 긴 세월 동안 둘러쌓여 있습니다. 그 동상 밑에 숨겨져 있는 돌에는 이렇게 새겨져 있습니다. "슬픈 여인 라야"
CARD_0051_BODY;한 때 제국군의 중추였던 집행자들은 이제 미르나스트의 외곽을 순찰합니다. 공식적으로는 티키와 오라드림 군대의 침략을 막기 위해서지만, 이 기계들은 반대 의견을 짓밟거나 반란군 근거지를 뿌리 뽑는 데 좀 더 사용된답니다.
CARD_0052_BODY;메로비언 귀족 모두가 적어도 하나의 기사단에는 포함되어 있지만, 가장 숙련되고 헌신적인 자만이 메로벌 기사단에 들어갈 수 있습니다. 왕의 생명과 비밀을 보호하는 곳이죠.
CARD_0053_BODY;언젠가 용들이 단결해 인류의 때가 묻은 세계를 정화할 것이라는 예언이 있습니다. 인류는 이 예언을 무서워하며 피하고 싶어하지만 다른 종족 대부분은 그것을 기대중입니다.
CARD_0056_BODY;마그누스와 마그다의 권력 투쟁 사이에서 툴가르는 양쪽 편에 모두 붙으려 하고 있습니다. 언젠가 그 두 사람이 서로를 파멸시켰을때 스스로 왕좌를 차지하기 위해서요. 그러나 두 군주 모두 그의 계획을 알고 있고 그의 열망을 무의미한 일에 쓰도록 합의했다는 사실을 툴가르는 모르고 있답니다.
CARD_0060_BODY;메로벌 법정에서 그녀의 힘을 생각하면, 마그다 여왕이 누군가를 합법적으로 처형하는 것은 어렵지 않습니다. 그러나 그렇지 못한 아주 드문 경우에도 그녀의 손끝에는 아주 많은 다른 방법들이 있답니다.
CARD_0064_BODY;자원에 대한 제국의 갈망은 너무나 지독해서 그 땅과 생태에 대한 우려는 뒤로한 채 한 구역의 페어리아를 완전히 고갈시키기도 합니다.
CARD_0071_BODY;모든 바다에 루비 피시 떼가 쏟아지지만 게이브리아 근처의 물만큼 루비 피시가 흔한 곳은 없습니다. 그들은 이곳에서 바다와 꿈의 여신 알루아의 사랑을 받는 생물로 여겨집니다.
CARD_0083_BODY;트라이튼 족은 수년간 평화로웠지만 그런 현실에 안주하지 않았습니다. 그들의 헌신적인 훈련은 벽을 무력화 시키는 타고난 재능과 결합되어 그들을 세계 최강의 전사로 만듭니다.
CARD_0104_BODY;영겁의 시간 동안 세계는 우로보로스가 잠자던 무한한 바다 외에는 아무것도 없었습니다. 네 명의 신들이 세계에 들어와 창조를 시작하기로 결정했을 때, 잠을 방해받은 거대한 뱀은 수면에 파문을 일으켰습니다. 알루아는 이 물결에 생명을 부여해 첫 번째 정령 베이루를 만들었습니다.
CARD_0108_BODY;오로세이는 꿈의 영역인 판도라의 수호자입니다. 신과 전설의 기억이 잠겨 있는 곳이죠. 그녀는 트라이튼 상인 후고로가 판도라로 가는 문을 찾는 바람에 온갖 종류의 도둑과 탐험가가 들어오기 전까지는 평화로운 나날을 보냈습니다.
CARD_0114_BODY;오로라는 언제나 그녀 주위 제대로 된 가르침이 필요한 사람의 꿈 속에 들어가 그 꿈을 환영으로 바꿀 수 있었습니다. 과거 수백 년동안 그녀는 이 행동을 조금 더 자주 했습니다. 덕분에 세계의 유명인들이, 어떻게 유명해졌든, 오로라의 꿈에 의해 만들어졌습니다.
CARD_0125_BODY;세계에서 가장 수수께끼에 쌓인 사람 중 하나로서, 그녀는 수천년 전 기억은 없지만 깊은 지혜와 이상한 힘을 가진 채 깨어났습니다. 그녀는 아직도 자신이 어떻게 존재하게 되었는지 모르지만, 자신의 목적은 찾았습니다. 세계를 종국의 파멸로부터 지켜내는 것이죠.
CARD_0133_BODY;티키 족은 동물과 식물의 생령과 공동체를 이루어 살지만, 사가미 족들은 자연의 좀 더 어두운 부분들과 대화를 나눕니다. 주술사들은 피에 목마른 정령들을 복잡하게 조각된 가면에 묶어, 그들 자신을 강력한 힘으로 가득 채웁니다. 주술사가 죽은 뒤 그들의 영혼 또한 새 가면에 묶이는 일도 드물지 않기에 그들의 힘을 부족 내에 보존할 수 있죠.
CARD_0140_BODY;티키 족은 모든 생명의 신성함을 믿습니다. 족장부터 가장 어린 전사까지 모든 사람들이 가끔씩 숲에 나가 아프거나 다친 동물과 생물을 돌봐줘야 합니다.
CARD_0144_BODY;야생이 위험에 처하면 티키 주술사들은 그들의 신성한 동물들을 순수한 페어리아로 가득 채워 무시무시한 거대 야수로 바꿉니다. 미르나스트 제국의 계속된 공격으로 인해, 티키 족들은 이 기술을 점점 자주 쓰게 되었고, 파수꾼 짐승들을 거의 항상 전투 격노 상태로 두는 지경까지 이르렀습니다.
CARD_0150_BODY;필멸자들에게는 오래 전에 잊혀진 때, 티리아는 거인 왕국 중 가장 커다란 곳이었습니다. 타이탄들의 전쟁 당시 그들은 경쟁국을 부숴버리기 위해 거대한 골렘을 만들었습니다. 이제 이 우뚝 솟은 창조물들은 창조자들이 세계에서 사라진 지금도 살아남아 있습니다.
CARD_0169_BODY;원소의 용들 중 가장 나이가 많은 용 테쓰라는 신성한 숲 높은 곳의 홰에서 야생 장소를 보살핍니다. 드래곤 슬레이어 샤라를 한 번 이긴 적 있지만 그 소녀를 이끄는 강력한 운명을 느끼고 목숨을 살려준 적 있습니다.
CARD_0175_BODY;오래된 숲 한가운데에는 고목이 자리하고 있는데, 그 안에 사는 가장 평화로운 정령마저 뒤틀려 버린답니다. 일견 무해하고 순수해 보이지만, 경고 없이 괴물로 변신할 수 있습니다.
CARD_0179_BODY;가이아가 우로보로스의 세계 파괴를 막기 위해 자신을 희생할 때 내뿜는 빛에 닿은 세 개의 씨앗은 커다란 힘으로 가득 찼습니다. 이 씨앗들 중 하나는 무성하고 비옥한 땅에 떨어져, 거대하고 의식 있는 나무가 되었습니다. 모든 에리아노르 숲이 그 나무로부터 자랐죠.
CARD_0185_BODY;야생 속으로 깊이 들어갈수록 무섭고 괴물같은 생물들을 마주하게 될 겁니다. 가장 깊은 곳에는 허기진 목소리가 있죠. 한 때 사가미 주술사였던 그들은 가면을 잃어버린 채 그들이 조종하려는 어둡고 굶주린 힘에 압도되고 홀려 버렸습니다.
CARD_0187_BODY;노래하는 매 부족의 족장 에레돈은 살아있는 자들 중 최고의 음악가일 뿐만 아니라 카리스마 있는 리더이며 상황 판단 빠른 전략가이기도 합니다. 이러한 이유 때문에 열두 티키 부족의 대변인이 되었고, 제국에 대항할 녹색 동맹의 연합 군대를 지휘합니다.
CARD_0189_BODY;위대한 티키 음악가 엔쿠가 루닌과 친분을 맺은 수천년 전 이래로 티키 부족은 플룻 음악을 통해 루닌의 도움을 요청하고 그 도움에 대한 감사를 했습니다.
CARD_0190_BODY;가이아가 우로보로스의 세계 파괴를 막기 위해 자신을 희생할 때 내뿜는 빛에 닿은 세 개의 씨앗은 커다란 힘으로 가득 찼습니다. 이 씨앗들 중 하나는 땅에 닿기도 전에 배고픈 늑대가 먹어버렸고, 덕분에 늑대는 거대한 몸집, 힘, 그리고 영생을 얻었습니다.
CARD_0202_BODY;검투사 구덩이의 노예로 태어난 사이퍼는 코볼트 지도층의 기쁨을 위한 살인 병기로 길러졌습니다. 코볼트 사회에 구역질이 난 그는 핏빛 혁명의 지도자가 되어 짐승 같은 악마들이 살고 있는 세계의 경계까지 혼자 탈출했습니다. 다신 누군가의 노예가 되고 싶지 않은 그는 공포의 군주로부터 힘을 훔친 뒤 그들의 땅을 자신의 것으로 만들었습니다.
