TUTORIAL_ADVENTURE_POUCH_AVAILABLE_GOT_IT;Начинается новое путешествие...\nНастал час узнать будущее Faeria!\nЧто... что это за медальон?
TUTORIAL_BATTLE_CASUAL_MODE_HINT;Для тех, кто хочет расслабиться, существует Обычный режим игры.
TUTORIAL_BATTLE_CHOOSE_MODE_GOT_IT;Перед игрой вы можете сделать выбор между тренировочным, обычным или рейтинговым режимами игры.
TUTORIAL_BATTLE_PRACTICE_MODE_HINT;Если вы хотите потренироваться против ИИ, выберите режим тренировки.
TUTORIAL_BATTLE_RANKED_MODE_HINT;Для тех, кто хочет испытать свои умения, существует Соревновательный режим игры.
TUTORIAL_CRAFTING_HIT_CRAFT_MODE_BUTTON;Вы получили способность создавать новые карты!
TUTORIAL_DECK_EDITION_NEW_CARD_RECEIVED_GOT_IT;Вы получили новую карту, давайте посмотрим, как мы можем добавить её в колоду.
TUTORIAL_FIRST_FORMULA_DECK_CREATED;Это ваша первая колода. Теперь вы можете играть!
TUTORIAL_FIRST_FORMULA_HIT_BLUEPRINT_SELECT_BUTTON;Это Формула, используйте её, чтобы создать колоду за несколько секунд.
TUTORIAL_FIRST_FORMULA_HIT_PLAY_BUTTON;Опробуйте свою новую колоду в игре.
TUTORIAL_FIRST_FORMULA_HOME_UNLOCKED_GOT_IT;Поздравляем, вы открыли основные возможности игры Faeria! Давайте начнём с создания вашей первой колоды.
TUTORIAL_FIRST_FORMULA_SOLO_GOT_IT;Добро пожаловать в Миссии! Проходите их, чтобы повысить уровень и получить новые карты.
TUTORIAL_SECOND_FORMULA_CREATE_DECK;Всё равно создайте эту колоду, добавив 2 карты по своему усмотрению.
TUTORIAL_SECOND_FORMULA_FINISH_DECK_GOT_IT;Ничего страшного, если у вас нет каких-то карт для Формулы. Вы всегда можете заменить недостающие карты картами на свой вкус.
TUTORIAL_SECOND_FORMULA_NEW_FORMULA_RECEIVED_GOT_IT;Вы получили новую Формулу, давайте используем её.
TUTORIAL_SECOND_FORMULA_NOT_COMPLETED_FORMULA_HINT;У вас есть только 28 из 30 карт для этой Формулы.
TUTORIAL_SHOP_MYTHIC_CHEST_HINT;Мифические сундуки содержат мифические версии карт и другую косметику.
TUTORIAL_PANDORA_PRACTICE_COIN_HINT;Заплатите за вход двумя боевыми сундуками и соберите колоду из случайно выбранных карт. Выиграйте до шести игр и получите в награду боевые сундуки и карты.
TUTORIAL_PANDORA_FULL_COIN_HINT;Или заплатите за вход осколками, чтобы получить в награду мифические карты и осколки.
MOUSE_TUTORIAL_PANDORA_REWARD_GOT_IT;В конце каждого сезона за очки Пандоры можно получить награды. Нажмите, чтобы посмотреть, какие! <u><link=https://esports.faeria.com/pandora-season>https://esports.faeria.com/pandora-season</link></u>
