BOSS_KING_YAKNUS.description;遥か昔、人とヤクは同盟を築いていた。どちらが同盟を主導するかを決めるため、双方の指導者は、勝者が敗者を100年の間使役するという約束の下剣を交えた。戦いに勝ったのは人間の王だったが、同様の争いは1世紀ごとに繰り返された。これを、「ヤクナロク」と呼ぶ。
BOSS_GREEN_GENIE.description;四体の創世の神々が堕ちた時、世界はアルボリアから光る木々の下へと返還された。ここは生命が永遠に循環し続け、ガイアの声が今も響く場所である。
BOSS_BLUE_YELLOW_SURVIVAL.description;マグダーは彼女の母を殺害したスカイショア盗賊団を皆殺しにした。ここにはその呪われた闘いの魂が今も残り続けていて、立ち入る者全てに見境なく襲いかかる。
BOSS_YAKKAR.description;ヤッカランではヤクの尖兵達が謎めいた未来の戦争に備えて鍛錬を積んでいる。彼らの指導者ヤッカーは、新戦術の指導のため、今日もヤッカラン競技場を走り回る。
BOSS_AZURE_GENIE.description;遥か昔、偉大なる皇帝がウディナから禁じられた知識を得ようとしたことがあった。彼女はそれを面白がって、皇帝の要望を受け入れた。そしてそのことは、彼とその帝国に良い結末をもたらさなかった。
BOSS_GREEN_RED_SURVIVAL.description;何がかつての緑豊かな楽園を変えてしまったのか、誰も知らない。何がその地の守護者の怒りを呼び起こしてしまったのか、誰も知らない。警告:オーガ達から目を離すな。
BOSS_YELLOW_GENIE.description;ハウリングデザートは風と怒りの支配者ダグダンの住む場所である。ダグダンは空の神アスターに逆らって、翼の恵みをアスターと共有することを拒んでいた。しかしある時、一人の老婆がそれをダグダンから盗み取り、彼女はそれをアスターと共有した。アスターは彼女の寛大さの見返りとして、彼女に永遠の若さと美しさを与えた。その名をアイオナという。何もないところから巻き起こる竜巻は、このことに対するダグダンの怒りの表れである。
BOSS_CRIMSON_GENIE.description;創造の鍛冶場はアオロスが原初の魔法からいくつもの魂を作りあげた場所であり、彼の最も偉大な作品の一つが鍛冶場の守護者パイロスである。しかし、パイロスは時が経つにつれて孤独に苛まれるようになった。そこで彼は鍛冶場を用い、友とするためにコジンを創造した。だが悲しいことに、パイロスは神ではなかったため、永遠の命を持つ者を創造することは出来なかったのである。
BOSS_DARK_WISP.description;一匹のウィスプがこの荒涼とした洞窟には現れる。この場所について調べようとする全ての試みは頓挫し、この場所について書いた全ての記述は消失してしまう。魔法の水晶にも何も映ることはない。我々は本当にこの場所に近づけているのだろうか？…違う。そうとしか言えない。
BOSS_FOUR_COLOR_01.description;ゴッドでさえもコズミックポータルを訪れようとするときには試練を与えられる。この悪夢のような森には、世界で最も恐ろしいクリーチャーの声がこだましている。決死の覚悟で臨め。
BOSS_RAIZEON.description;コズミックポータルは、ライゼオンが真実を見つめる場所、ネクサスに続いている。「ゴッドよ…星に満ちているではないか。」
BOSS_JALMYR.description;答えのない問いは何処へ行くのだろうか？その答えは、ジャルミーが不可知の事象を集めた場所、慰めの水場である。この場所では神話と現実の境界線があいまいになる。ミシックカードを持っていくと良い。きっとそれが必要になる時が来るだろう。
LIMITED_BOSS_BATTLE.description;皇帝カイオスはゴッド自身に戦いを挑もうとしている。彼をその日初めて倒すごとに、あなたは経験値とアドベンチャーポーチのポイントを獲得できます。
OVERSKY_ISLAND_01_MISSION01.description;帝国の勢力はあなたよりも先にオーバースカイに到着していた。その開拓者の中の一人には、捉えられたフーゴロがいた。伝説的なカエルを救うんだ！
OVERSKY_ISLAND_01_MISSION02.description;その開拓者は帝国の捕虜収容所に捕らえられたフーゴロだった。帝国の本当の狙いは一体何なのだろうか?それを確かめるため、収容所の所長を倒そう。
OVERSKY_ISLAND_01_MISSION03.description;帝国の本当の狙いが分かった。彼らは、聖なる卵を手に入れ、魔法を使ってそれが孵化するのを妨げようとしていた。卵の中の雛を救おう。
OVERSKY_ISLAND_01_MISSION04.description;聖なるドラコヤクの雛が孵った！あいさつしてあげよう。
OVERSKY_ISLAND_02_MISSION01.description;オーバースカイの祈祷師、ウラニの加護を受けるためにあなたは4つの試練を受ける必要がある。最初は智恵の試練だ。
OVERSKY_ISLAND_02_MISSION02.description;勇気の試練では、高潔な長タランガと戦うことになる。その先の道を拓くため、彼を倒して先に進もう。
OVERSKY_ISLAND_02_MISSION03.description;長老フルフィーはのろまそうに見えるかもしれない。しかし、彼は謙虚の徳を積んだ人物である。その理由はすぐに分かるだろう。
OVERSKY_ISLAND_02_MISSION04.description;イルーナの光の中で、ウラニは平静の試練をあなたに課す。ほとんどの祈祷師は一つの元素しか扱うことができないが、ウラニは4つの全ての元素に愛されている。彼女は非常に頼れる仲間となるだろう。
OVERSKY_ISLAND_03_MISSION01.description;ウィスプライトの滝に関するヤキントン卿の研究を手助けしよう。滝の水際で、あなたは野生の青空のウィスプを見つけた。
OVERSKY_ISLAND_03_MISSION02.description;あなたはこのウィスプが古のアルボリアと何か関係があるかもしれないということを発見した。もしかすると、彼女の子供かもしれない。
OVERSKY_ISLAND_03_MISSION03.description;あなたはパイロスの古くからの友、コジンによく似た姿を持つ火のウィスプを見つけた。
OVERSKY_ISLAND_03_MISSION04.description;ウィスプライトの滝を飛び回っている間、このウィスプはアイオナの名前をささやいていた。
