PROLOGUE_1_0001;Создавайте земли и призывайте существ, чтобы атаковать врага. Уничтожьте его сферу, чтобы победить!
PROLOGUE_1_0023;Добро пожаловать в Faeria! Я Фугоро, твой друг...
PROLOGUE_1_0002;Погоди, лягушонок!
PROLOGUE_1_0024;Ай! Помоги мне! Я дам тебе награду!
PROLOGUE_1_0007;3 фейри! Я могу призвать существо.
PROLOGUE_1_0008;Надеюсь, ты готов к боли!
PROLOGUE_1_0025;Вам нужны земли, чтобы призвать этого яка.
PROLOGUE_1_0011;Призовите его сюда.
PROLOGUE_1_0012;Существа должны подождать один ход, прежде чем атаковать.
PROLOGUE_1_0013;Атакуйте!
PROLOGUE_1_0026;Сокрушите этого бандита, затем мы сможем контратаковать.
PROLOGUE_1_0014;Выберите яка.
PROLOGUE_1_0015;Атакуйте этого бандита.
PROLOGUE_1_0027;Cвятые яки!
PROLOGUE_1_0028;Передвиньтесь и атакуйте саму Шарру.
PROLOGUE_1_0022;Неплохая битва!
GAMEPAD_PROLOGUE_1_0029;Также можно нажать {GAMEPAD_BACK_BUTTONS_R2} для быстрого перехода к колесу
GAMEPAD_PROLOGUE_1_0010;Наведите курсор на карту яка и нажмите {GAMEPAD_ACTION_CONFIRM}
MOUSE_PROLOGUE_1_0010;Выберите яка
GAMEPAD_PROLOGUE_1_0006;Передвиньте курсор сюда и ЗАЖМИТЕ {GAMEPAD_ACTION_CONFIRM}, чтобы пропустить ход.
MOUSE_PROLOGUE_1_0006;Пропустите ход.
GAMEPAD_PROLOGUE_1_0004;Нажмите {GAMEPAD_ACTION_CONFIRM}, чтобы создать здесь.
MOUSE_PROLOGUE_1_0004;Создайте здесь.
GAMEPAD_PROLOGUE_1_0003;Переместите сюда курсор и нажмите {GAMEPAD_ACTION_CONFIRM}, чтобы создать земли.
MOUSE_PROLOGUE_1_0003;Создайте земли по направлению к врагу.
